Campaign name,Ad set name,Ad name,Age,Gender,Delivery status,Delivery level,Objective,Amount spent (INR),Ad set name,Impressions,Reach,Result Type,Results,Clicks (all),Link clicks,Landing page views,Frequency,CTR (link click-through rate),CTR (all),CPC (all),Cost per result,Messaging conversations started,Quality ranking,Engagement rate ranking,Conversion rate ranking,URL parameters,Reporting starts,Reporting ends
Brand Awareness - 10 June - Kalyani Nagar,Brand Awareness - 10 June - Kalyani Nagar,Kalyani Nagar Video - 10 June,55-64,male,not_delivering,ad,OUTCOME_AWARENESS,52.28,Brand Awareness - 10 June - Kalyani Nagar,14046,12032,Reach,12032,12,3,,1.16738697,0.02135839,0.08543358,4.35647928,4.34,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",Instagram Post,"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",45-54,male,not_delivering,ad,MESSAGES,50.34,Instagram Post,1699,1544,,,4,,,1.1003886,,0.23543261,12.58397285,,,-,-,-,,2022-09-25,2024-09-13
Brand Awarness Ad_Kalyani Nagar,Brand Awarness Ad_Kalyani Nagar,Kalyani Nagar Vibe Video,45-54,female,not_delivering,ad,OUTCOME_AWARENESS,50.00,Brand Awarness Ad_Kalyani Nagar,16839,11392,Reach,11392,13,6,,1.47814256,0.03563157,0.07720173,3.84602974,4.39,,-,-,-,,2022-09-25,2024-09-13
IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,45-54,female,not_delivering,ad,OUTCOME_ENGAGEMENT,49.00,IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,1487,384,ThruPlay,71,0,,,3.87239583,,0,,0.69,,-,-,-,,2022-09-25,2024-09-13
Aisha & Co Event - Kalyani Nagar,Aisha & Co Event - Kalyani Nagar,Aisha & Co Event - Kalyani Nagar,25-34,female,not_delivering,ad,OUTCOME_AWARENESS,46.85,Aisha & Co Event - Kalyani Nagar,14525,14525,Reach,14525,8,3,,1,0.02065404,0.05507745,5.85602316,3.23,,-,-,-,,2022-09-25,2024-09-13
IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,45-54,female,not_delivering,ad,OUTCOME_ENGAGEMENT,46.70,IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,1094,992,Post engagements,166,8,,,1.10282258,,0.73126143,5.83807339,0.28,,-,-,-,,2022-09-25,2024-09-13
Aisha & Co Event - Kalyani Nagar,Aisha & Co Event - Kalyani Nagar,Aisha & Co Event - Kalyani Nagar,35-44,male,not_delivering,ad,OUTCOME_AWARENESS,45.70,Aisha & Co Event - Kalyani Nagar,13934,13934,Reach,13934,15,7,,1,0.05023683,0.10765035,3.04654866,3.28,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Love is a four legged word💕🐶💘...,Instagram Post,Instagram post: Love is a four legged word💕🐶💘...,18-24,female,not_delivering,ad,LINK_CLICKS,42.93,Instagram Post,3175,3175,Link clicks,13,13,13,,1,0.40944882,0.40944882,3.30209827,3.30,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: Cheers to love in the air,...",Instagram Post,"Instagram post: Cheers to love in the air,...",25-34,male,not_delivering,ad,LINK_CLICKS,39.97,Instagram Post,1285,1261,Link clicks,4,4,4,,1.01903251,0.31128405,0.31128405,9.99347405,9.99,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - Balewadi Vibe,Brand Awareness - Balewadi Vibe,Balewadi Vibe Video,45-54,female,not_delivering,ad,OUTCOME_AWARENESS,39.94,Brand Awareness - Balewadi Vibe,11833,8960,Reach,8960,4,2,,1.32064732,0.01690188,0.03380377,9.9846066,4.46,,-,-,-,,2022-09-25,2024-09-13
Instant History Event - 9 May,Instant History Event - 9 May,Instant History Event - 9 May,45-54,male,not_delivering,ad,OUTCOME_ENGAGEMENT,39.84,Instant History Event - 9 May,716,668,Post engagements,97,7,,,1.07185629,,0.97765363,5.69142857,0.41,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: Cheers to love in the air,...",Instagram Post,"Instagram post: Cheers to love in the air,...",18-24,male,not_delivering,ad,LINK_CLICKS,37.78,Instagram Post,2157,2097,Link clicks,10,10,10,,1.0286123,0.46360686,0.46360686,3.77842305,3.78,1,-,-,-,,2022-09-25,2024-09-13
Instagram post: Slip into your coziest PJs and...,Instagram Post,Instagram post: Slip into your coziest PJs and...,25-34,female,not_delivering,ad,LINK_CLICKS,36.81,Instagram Post,1452,1360,Link clicks,8,8,8,,1.06764706,0.55096419,0.55096419,4.60179861,4.60,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Slip into your coziest PJs and...,Instagram Post,Instagram post: Slip into your coziest PJs and...,18-24,female,not_delivering,ad,LINK_CLICKS,35.38,Instagram Post,2066,1964,Link clicks,8,8,8,,1.05193483,0.38722168,0.38722168,4.42307585,4.42,,-,-,-,,2022-09-25,2024-09-13
IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,45-54,female,not_delivering,ad,OUTCOME_ENGAGEMENT,32.22,IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,957,957,Post engagements,66,25,,,1,,2.6123302,1.28873606,0.49,,-,-,-,,2022-09-25,2024-09-13
IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,45-54,female,active,ad,OUTCOME_ENGAGEMENT,32.21,IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,1747,1172,Post engagements,247,1,,,1.49061433,,0.05724098,32.2067145,0.13,,-,-,-,,2022-09-25,2024-09-13
SIMRAN COLLECTIVE Event - 13 May,SIMRAN COLLECTIVE Event - 13 May,SIMRAN COLLECTIVE Event - 13 May,35-44,male,not_delivering,ad,OUTCOME_ENGAGEMENT,31.90,SIMRAN COLLECTIVE Event - 13 May,454,402,Post engagements,128,8,,,1.12935323,,1.76211454,3.9875,0.25,,-,-,-,,2022-09-25,2024-09-13
Brand Awarness Ad_Varsova,Brand Awarness Ad_varsova,Varsova Vibe Video,55-64,male,not_delivering,ad,OUTCOME_AWARENESS,30.73,Brand Awarness Ad_varsova,10694,5888,Reach,5888,6,,,1.81623641,,0.05610623,5.12161539,5.22,,-,-,-,,2022-09-25,2024-09-13
Kalyani Nagar - Vibe Video - A/B Test,Kalyani Nagar - Awareness Ad,New Awareness ad,45-54,male,not_delivering,ad,OUTCOME_AWARENESS,29.71,Kalyani Nagar - Awareness Ad,9949,9949,Reach,9949,2,,,1,,0.02010252,14.85404428,2.99,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Love is a four legged word💕🐶💘...,Instagram Post,Instagram post: Love is a four legged word💕🐶💘...,25-34,female,not_delivering,ad,LINK_CLICKS,29.63,Instagram Post,1362,1362,Link clicks,3,3,3,,1,0.22026432,0.22026432,9.87604031,9.88,,-,-,-,,2022-09-25,2024-09-13
Instant History Event - 9 May,Instant History Event - 9 May,Instant History Event - 9 May,35-44,female,not_delivering,ad,OUTCOME_ENGAGEMENT,29.52,Instant History Event - 9 May,413,356,Post engagements,71,1,,,1.16011236,,0.24213075,29.52,0.42,,-,-,-,,2022-09-25,2024-09-13
IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,55-64,female,not_delivering,ad,OUTCOME_ENGAGEMENT,29.49,IBC-Lover Boy-Engagement- Pune+Mumbai- July 2024,508,384,ThruPlay,203,0,,,1.32291667,,0,,0.15,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Balewadi,Brand Awareness - 10 June - Balewadi,Balewadi Video - 10 June,55-64,female,not_delivering,ad,OUTCOME_AWARENESS,29.00,Brand Awareness - 10 June - Balewadi,7607,5888,Reach,5888,8,2,,1.29194973,0.02629157,0.10516629,3.62484886,4.93,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - 10 June - Kalyani Nagar,Brand Awareness - 10 June - Kalyani Nagar,Kalyani Nagar Video - 10 June,55-64,female,not_delivering,ad,OUTCOME_AWARENESS,28.91,Brand Awareness - 10 June - Kalyani Nagar,7456,7424,Reach,7424,3,2,,1.00431034,0.02682403,0.04023605,9.63625219,3.89,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",Instagram Post,"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",45-54,female,not_delivering,ad,MESSAGES,28.81,Instagram Post,446,272,Messaging conversations started,1,2,2,,1.63970588,0.44843049,0.44843049,14.40523873,28.81,1,-,-,-,,2022-09-25,2024-09-13
SIMRAN COLLECTIVE Event - 13 May,SIMRAN COLLECTIVE Event - 13 May,SIMRAN COLLECTIVE Event - 13 May,25-34,female,not_delivering,ad,OUTCOME_ENGAGEMENT,28.24,SIMRAN COLLECTIVE Event - 13 May,433,358,Post engagements,99,1,1,,1.20949721,0.23094688,0.23094688,28.24,0.29,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Valentines is gone! Swipe in for...,Instagram Post,Instagram post: Valentines is gone! Swipe in for...,35-44,female,not_delivering,ad,LINK_CLICKS,28.06,Instagram Post,848,776,Link clicks,3,3,3,,1.09278351,0.35377358,0.35377358,9.35306433,9.35,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Slip into your coziest PJs and...,Instagram Post,Instagram post: Slip into your coziest PJs and...,35-44,male,not_delivering,ad,LINK_CLICKS,26.64,Instagram Post,794,680,Link clicks,2,2,2,,1.16764706,0.25188917,0.25188917,13.31797013,13.32,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: Sip the Charm, the royal...",Instagram Post,"Instagram post: Sip the Charm, the royal...",18-24,male,not_delivering,ad,LINK_CLICKS,26.47,Instagram Post,1834,1670,,,0,,,1.09820359,,0,,,,-,-,-,,2022-09-25,2024-09-13
DJ SIARAA - 3 May Event,New Engagement ad set,New Engagement ad,25-34,female,not_delivering,ad,OUTCOME_ENGAGEMENT,25.78,New Engagement ad set,423,402,Post engagements,89,2,,,1.05223881,,0.47281324,12.89,0.29,,-,-,-,,2022-09-25,2024-09-13
IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,45-54,female,not_delivering,ad,OUTCOME_ENGAGEMENT,25.56,IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,485,320,Post engagements,117,3,,,1.515625,,0.6185567,8.519434,0.22,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: Sip the Charm, the royal...",Instagram Post,"Instagram post: Sip the Charm, the royal...",25-34,male,not_delivering,ad,LINK_CLICKS,24.05,Instagram Post,1016,958,,,0,,,1.0605428,,0,,,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Love is a four legged word💕🐶💘...,Instagram Post,Instagram post: Love is a four legged word💕🐶💘...,35-44,male,not_delivering,ad,LINK_CLICKS,23.77,Instagram Post,1056,1056,Link clicks,4,4,4,,1,0.37878788,0.37878788,5.94212314,5.94,,-,-,-,,2022-09-25,2024-09-13
Kalyani Nagar - Vibe Video - A/B Test,Kalyani Nagar - Awareness Ad,New Awareness ad,35-44,female,not_delivering,ad,OUTCOME_AWARENESS,23.42,Kalyani Nagar - Awareness Ad,7845,7845,Reach,7845,7,1,,1,0.01274697,0.08922881,3.34549903,2.99,,-,-,-,,2022-09-25,2024-09-13
Brand Awarness Ad_Varsova,Brand Awarness Ad_varsova,Varsova Vibe Video,55-64,female,not_delivering,ad,OUTCOME_AWARENESS,23.27,Brand Awarness Ad_varsova,7920,4352,Reach,4352,5,,,1.81985294,,0.06313131,4.65395341,5.35,,-,-,-,,2022-09-25,2024-09-13
Aisha & Co Event - Kalyani Nagar,Aisha & Co Event - Kalyani Nagar,Aisha & Co Event - Kalyani Nagar,45-54,male,not_delivering,ad,OUTCOME_AWARENESS,22.29,Aisha & Co Event - Kalyani Nagar,6846,6560,Reach,6560,10,,,1.04359756,,0.1460707,2.22891366,3.40,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",Instagram Post,"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",55-64,female,not_delivering,ad,MESSAGES,21.65,Instagram Post,134,134,,,0,,,1,,0,,,,-,-,-,,2022-09-25,2024-09-13
DJ SIARAA - 3 May Event,New Engagement ad set,New Engagement ad,35-44,male,not_delivering,ad,OUTCOME_ENGAGEMENT,20.91,New Engagement ad set,332,313,Post engagements,76,2,2,,1.06070288,0.60240964,0.60240964,10.455,0.28,,-,-,-,,2022-09-25,2024-09-13
Kalyani Nagar - Vibe Video - A/B Test,Kalyani Nagar - Remarketing,Kalyani Nagar - Remarketing,45-54,male,not_delivering,ad,OUTCOME_AWARENESS,20.13,Kalyani Nagar - Remarketing,543,543,Reach,543,2,,,1,,0.36832413,10.06442496,37.07,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Snuggle up and savour the...,Instagram Post,Instagram post: Snuggle up and savour the...,25-34,male,not_delivering,ad,LINK_CLICKS,19.50,Instagram Post,1049,983,Link clicks,4,4,4,,1.0671414,0.38131554,0.38131554,4.875,4.88,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: Sip the Charm, the royal...",Instagram Post,"Instagram post: Sip the Charm, the royal...",18-24,female,not_delivering,ad,LINK_CLICKS,17.45,Instagram Post,839,761,Link clicks,1,1,1,,1.10249671,0.11918951,0.11918951,17.45,17.45,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Snuggle up and savour the...,Instagram Post,Instagram post: Snuggle up and savour the...,18-24,male,not_delivering,ad,LINK_CLICKS,16.58,Instagram Post,1468,1346,Link clicks,4,4,4,,1.09063893,0.27247956,0.27247956,4.145,4.15,,-,-,-,,2022-09-25,2024-09-13
Aisha & Co Event - Kalyani Nagar,Aisha & Co Event - Kalyani Nagar,Aisha & Co Event - Kalyani Nagar,35-44,female,not_delivering,ad,OUTCOME_AWARENESS,15.63,Aisha & Co Event - Kalyani Nagar,4753,4128,Reach,4128,2,,,1.15140504,,0.04207869,7.81469729,3.79,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: Cheers to love in the air,...",Instagram Post,"Instagram post: Cheers to love in the air,...",18-24,female,not_delivering,ad,LINK_CLICKS,14.83,Instagram Post,710,688,Link clicks,5,5,5,,1.03197674,0.70422535,0.70422535,2.96554718,2.97,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Slip into your coziest PJs and...,Instagram Post,Instagram post: Slip into your coziest PJs and...,35-44,female,not_delivering,ad,LINK_CLICKS,14.71,Instagram Post,527,504,Link clicks,1,1,1,,1.04563492,0.18975332,0.18975332,14.70775831,14.71,,-,-,-,,2022-09-25,2024-09-13
Brand Awarness Ad_Kalyani Nagar,Brand Awarness Ad_Kalyani Nagar,Kalyani Nagar Vibe Video,55-64,male,not_delivering,ad,OUTCOME_AWARENESS,14.66,Brand Awarness Ad_Kalyani Nagar,4778,2560,Reach,2560,4,2,,1.86640625,0.04185852,0.08371704,3.66488174,5.73,,-,-,-,,2022-09-25,2024-09-13
IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,25-34,unknown,active,ad,OUTCOME_ENGAGEMENT,14.52,IBC-Engagement- Remarketing-Pune+Mumbai-August 2024,544,401,Post engagements,124,0,,,1.35660848,,0,,0.12,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",Instagram Post,"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",55-64,male,not_delivering,ad,MESSAGES,14.46,Instagram Post,197,152,,,0,,,1.29605263,,0,,,,-,-,-,,2022-09-25,2024-09-13
Kalyani Nagar - Vibe Video - A/B Test,Kalyani Nagar - Awareness Ad,New Awareness ad,45-54,female,not_delivering,ad,OUTCOME_AWARENESS,14.32,Kalyani Nagar - Awareness Ad,4929,4096,Reach,4096,7,3,,1.20336914,0.06086427,0.14201664,2.04558267,3.50,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: Cheers to love in the air,...",Instagram Post,"Instagram post: Cheers to love in the air,...",25-34,female,not_delivering,ad,LINK_CLICKS,14.10,Instagram Post,380,370,Link clicks,1,1,1,,1.02702703,0.26315789,0.26315789,14.09784733,14.10,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: Cheers to love in the air,...",Instagram Post,"Instagram post: Cheers to love in the air,...",35-44,male,not_delivering,ad,LINK_CLICKS,14.02,Instagram Post,232,226,Link clicks,2,2,2,,1.02654867,0.86206897,0.86206897,7.00892977,7.01,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",Instagram Post,"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",55-64,female,not_delivering,ad,MESSAGES,13.92,Instagram Post,100,72,,,0,,,1.38888889,,0,,,,-,-,-,,2022-09-25,2024-09-13
Instant History Event - 9 May,Instant History Event - 9 May,Instant History Event - 9 May,45-54,female,not_delivering,ad,OUTCOME_ENGAGEMENT,13.23,Instant History Event - 9 May,228,204,Post engagements,27,1,,,1.11764706,,0.43859649,13.23,0.49,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - Powai Vibe,Brand Awareness - Powai Vibe,Powai Vibe Video,55-64,male,not_delivering,ad,OUTCOME_AWARENESS,12.35,Brand Awareness - Powai Vibe,3726,3328,Reach,3328,0,,,1.11959135,,0,,3.71,,-,-,-,,2022-09-25,2024-09-13
IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,25-34,unknown,not_delivering,ad,OUTCOME_ENGAGEMENT,11.56,IBC-Engagement-DORADO-Pune+MUMBAI-August 2024,277,208,Post engagements,34,0,,,1.33173077,,0,,0.34,,-,-,-,,2022-09-25,2024-09-13
SIMRAN COLLECTIVE Event - 13 May,SIMRAN COLLECTIVE Event - 13 May,SIMRAN COLLECTIVE Event - 13 May,45-54,male,not_delivering,ad,OUTCOME_ENGAGEMENT,10.96,SIMRAN COLLECTIVE Event - 13 May,176,151,Post engagements,47,3,1,,1.16556291,0.56818182,1.70454545,3.65333333,0.23,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Love is a four legged word💕🐶💘...,Instagram Post,Instagram post: Love is a four legged word💕🐶💘...,35-44,female,not_delivering,ad,LINK_CLICKS,10.37,Instagram Post,357,316,Link clicks,2,2,2,,1.12974684,0.56022409,0.56022409,5.18467118,5.18,,-,-,-,,2022-09-25,2024-09-13
Brand Awarness Ad_Kalyani Nagar,Brand Awarness Ad_Kalyani Nagar,Kalyani Nagar Vibe Video,55-64,female,not_delivering,ad,OUTCOME_AWARENESS,10.16,Brand Awarness Ad_Kalyani Nagar,3476,3072,Reach,3072,0,,,1.13151042,,0,,3.31,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - Powai Vibe,Brand Awareness - Powai Vibe,Powai Vibe Video,55-64,female,not_delivering,ad,OUTCOME_AWARENESS,10.09,Brand Awareness - Powai Vibe,2683,2683,Reach,2683,1,,,1,,0.03727171,10.08978006,3.76,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - Balewadi Vibe,Brand Awareness - Balewadi Vibe,Balewadi Vibe Video,55-64,male,not_delivering,ad,OUTCOME_AWARENESS,9.87,Brand Awareness - Balewadi Vibe,3092,2304,Reach,2304,2,1,,1.34201389,0.03234153,0.06468305,4.93480556,4.28,,-,-,-,,2022-09-25,2024-09-13
Kalyani Nagar - Vibe Video - A/B Test,Kalyani Nagar - Remarketing,Kalyani Nagar - Remarketing,45-54,female,not_delivering,ad,OUTCOME_AWARENESS,9.81,Kalyani Nagar - Remarketing,251,176,Reach,176,1,,,1.42613636,,0.39840637,9.81456337,55.76,,-,-,-,,2022-09-25,2024-09-13
Brand Awarness Ad_Varsova,Brand Awarness Ad_varsova,Varsova Vibe Video,18-24,unknown,not_delivering,ad,OUTCOME_AWARENESS,9.74,Brand Awarness Ad_varsova,3107,1024,Reach,1024,1,,,3.03417969,,0.03218539,9.73990249,9.51,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: Sip the Charm, the royal...",Instagram Post,"Instagram post: Sip the Charm, the royal...",25-34,female,not_delivering,ad,LINK_CLICKS,9.57,Instagram Post,449,419,,,0,,,1.07159905,,0,,,,-,-,-,,2022-09-25,2024-09-13
Aisha & Co Event - Kalyani Nagar,Aisha & Co Event - Kalyani Nagar,Aisha & Co Event - Kalyani Nagar,45-54,female,not_delivering,ad,OUTCOME_AWARENESS,9.47,Aisha & Co Event - Kalyani Nagar,2916,2736,Reach,2736,4,3,,1.06578947,0.10288066,0.13717421,2.3674083,3.46,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",Instagram Post,"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",55-64,male,not_delivering,ad,MESSAGES,8.99,Instagram Post,261,168,,,1,,,1.55357143,,0.38314176,8.99390555,,,-,-,-,,2022-09-25,2024-09-13
IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,25-34,unknown,not_delivering,ad,OUTCOME_ENGAGEMENT,7.80,IBC-Lover Boy- Engagement- Post Likes-Pune+Mumbai,148,144,Post engagements,39,0,,,1.02777778,,0,,0.20,,-,-,-,,2022-09-25,2024-09-13
Instagram post: It’s PJs’ Pizzas’ and ‘Crafty...,Instagram Post,Instagram post: It’s PJs’ Pizzas’ and ‘Crafty...,45-54,female,not_delivering,ad,LINK_CLICKS,7.74,Instagram Post,140,140,,,0,,,1,,0,,,,-,-,-,,2022-09-25,2024-09-13
IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,25-34,unknown,not_delivering,ad,OUTCOME_ENGAGEMENT,7.38,IBC-International Beer Day- Engagement-Pune+Mumbai-August 2024,172,80,Post engagements,21,3,,,2.15,,1.74418605,2.45911472,0.35,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: 🦗 Patience, grasshopper....",Instagram Post,"Instagram post: 🦗 Patience, grasshopper....",25-34,male,not_delivering,ad,MESSAGES,7.36,Instagram Post,169,158,,,0,,,1.06962025,,0,,,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Valentines is gone! Swipe in for...,Instagram Post,Instagram post: Valentines is gone! Swipe in for...,45-54,male,not_delivering,ad,LINK_CLICKS,7.21,Instagram Post,193,193,,,0,,,1,,0,,,,-,-,-,,2022-09-25,2024-09-13
Instagram post: It’s PJs’ Pizzas’ and ‘Crafty...,Instagram Post,Instagram post: It’s PJs’ Pizzas’ and ‘Crafty...,45-54,male,not_delivering,ad,LINK_CLICKS,6.85,Instagram Post,169,112,,,0,,,1.50892857,,0,,,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - Balewadi Vibe,Brand Awareness - Balewadi Vibe,Balewadi Vibe Video,55-64,female,not_delivering,ad,OUTCOME_AWARENESS,6.79,Brand Awareness - Balewadi Vibe,2144,2144,Reach,2144,2,,,1,,0.09328358,3.39486624,3.17,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Snuggle up and savour the...,Instagram Post,Instagram post: Snuggle up and savour the...,35-44,male,not_delivering,ad,LINK_CLICKS,6.70,Instagram Post,198,192,Link clicks,2,2,2,,1.03125,1.01010101,1.01010101,3.35,3.35,,-,-,-,,2022-09-25,2024-09-13
DJ SIARAA - 3 May Event,New Engagement ad set,New Engagement ad,45-54,male,not_delivering,ad,OUTCOME_ENGAGEMENT,6.47,New Engagement ad set,129,118,Post engagements,21,0,,,1.09322034,,0,,0.31,,-,-,-,,2022-09-25,2024-09-13
DJ SIARAA - 3 May Event,New Engagement ad set,New Engagement ad,35-44,female,not_delivering,ad,OUTCOME_ENGAGEMENT,6.46,New Engagement ad set,75,72,Post engagements,24,1,,,1.04166667,,1.33333333,6.46,0.27,,-,-,-,,2022-09-25,2024-09-13
IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,25-34,unknown,not_delivering,ad,OUTCOME_ENGAGEMENT,6.24,IBC-Engagement-Reel-Video Views-Remarketing-Pune+Mumbai-August 2024,186,40,ThruPlay,11,0,,,4.65,,0,,0.57,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Snuggle up and savour the...,Instagram Post,Instagram post: Snuggle up and savour the...,18-24,female,not_delivering,ad,LINK_CLICKS,6.23,Instagram Post,518,484,Link clicks,1,1,1,,1.07024793,0.19305019,0.19305019,6.23,6.23,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: Sip the Charm, the royal...",Instagram Post,"Instagram post: Sip the Charm, the royal...",35-44,male,not_delivering,ad,LINK_CLICKS,6.20,Instagram Post,235,221,Link clicks,1,1,1,,1.06334842,0.42553191,0.42553191,6.2,6.20,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: Cheers to love in the air,...",Instagram Post,"Instagram post: Cheers to love in the air,...",35-44,female,not_delivering,ad,LINK_CLICKS,6.11,Instagram Post,78,77,Link clicks,2,2,2,,1.01298701,2.56410256,2.56410256,3.05453359,3.05,,-,-,-,,2022-09-25,2024-09-13
Kalyani Nagar - Vibe Video - A/B Test,Kalyani Nagar - Awareness Ad,New Awareness ad,55-64,male,not_delivering,ad,OUTCOME_AWARENESS,5.90,Kalyani Nagar - Awareness Ad,2056,1984,Reach,1984,0,,,1.03629032,,0,,2.97,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Snuggle up and savour the...,Instagram Post,Instagram post: Snuggle up and savour the...,25-34,female,not_delivering,ad,LINK_CLICKS,5.55,Instagram Post,401,389,,,0,,,1.03084833,,0,,,,-,-,-,,2022-09-25,2024-09-13
Instagram post: Slip into your coziest PJs and...,Instagram Post,Instagram post: Slip into your coziest PJs and...,45-54,female,not_delivering,ad,LINK_CLICKS,5.12,Instagram Post,43,36,,,0,,,1.19444444,,0,,,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",Instagram Post,"Instagram post: ⚠️ WARNING ⚠️
Our hoagies may...",45-54,unknown,not_delivering,ad,MESSAGES,5.08,Instagram Post,14,0,,,0,,,0,,0,,,,-,-,-,,2022-09-25,2024-09-13
"Instagram post: 🦗 Patience, grasshopper....",Instagram Post,"Instagram post: 🦗 Patience, grasshopper....",25-34,female,not_delivering,ad,MESSAGES,5.02,Instagram Post,47,45,,,0,,,1.04444444,,0,,,,-,-,-,,2022-09-25,2024-09-13
Brand Awareness - Powai Vibe,Brand Awareness - Powai Vibe,Powai Vibe Video,25-34,unknown,not_delivering,ad,OUTCOME_AWARENESS,4.94,Brand Awareness - Powai Vibe,1527,1527,Reach,1527,0,,,1,,0,,3.24,,-,-,-,,2022-09-25,2024-09-13
